pname,purl
tronkko-dirent,pkg:generic/dirent@1.23.2?source_hash=f72d39e3c39610b6901e391b140aa69b51e0eb99216939ed5e547b5dad03afb1
json-c,pkg:generic/json-c@0.18?source_hash=876ab046479166b869afc6896d288183bbc0e5843f141200c677b3e8dfb11724
termbox,pkg:generic/termbox@1.1.2?source_hash=61c9940b42b3ac44bf0cba67eacba75e3c02088b8c695149528c77def04d69b1
libxinerama,pkg:generic/libXinerama@1.1.4?source_hash=0008dbd7ecf717e1e507eed1856ab0d9cf946d03201b85d5dcf61489bb02d720
jbig2dec,pkg:generic/jbig2dec@0.20?source_hash=a9705369a6633aba532693450ec802c562397e1b824662de809ede92f67aff21
abseil-cpp,pkg:generic/abseil-cpp@20240722.0?source_hash=f50e5ac311a81382da7fa75b97310e4b9006474f9560ac46f54a9967f07d4ae3
minizip-ng,pkg:generic/minizip-ng@4.0.7?source_hash=a87f1f734f97095fe1ef0018217c149d53d0f78438bcb77af38adc21dff2dfbc
opencl-headers,pkg:generic/OpenCL-Headers@2024.10.24?source_hash=159f2a550592bae49859fee83d372acd152328fdf95c0dcd8b9409f8fad5db93
opus,pkg:generic/opus@1.5.2?source_hash=65c1d2f78b9f2fb20082c38cbe47c951ad5839345876e46941612ee87f9a7ce1
speexdsp,pkg:generic/speexdsp@1.2.1?source_hash=8c777343e4a6399569c72abc38a95b24db56882c83dbdb6c6424a5f4aeb54d3d
xtl,pkg:generic/xtl@0.6.12?source_hash=25a16958195f939e6fb7c8feccad89b3e450a18124be6aee119c69a1ee2b308c
openblas,pkg:generic/OpenBLAS@0.3.28?source_hash=f1003466ad074e9b0c8d421a204121100b0751c96fc6fcf3d1456bd12f8a00a1
eigen,pkg:generic/eigen@3.4.0?source_hash=b4c198460eba6f28d34894e3a5710998818515104d6e74e5cc331ce31e46e626
mujs,pkg:generic/mujs@1.3.5?source_hash=78a311ae4224400774cb09ef5baa2633c26971513f8b931d3224a0eb85b13e0b
libxslt,pkg:generic/libxslt@1.1.39?source_hash=2a20ad621148339b0759c4d4e96719362dee64c9a096dbba625ba053846349f0
mpdecimal,pkg:generic/mpdecimal@2.5.1?source_hash=9f9cd4c041f99b5c49ffb7b59d9f12d95b683d88585608aa56a6307667b2b21f
tl-expected,pkg:generic/expected@1.1.0?source_hash=1db357f46dd2b24447156aaf970c4c40a793ef12a8a9c2ad9e096d9801368df6
rubberband,pkg:generic/rubberband@4.0.0?source_hash=af050313ee63bc18b35b2e064e5dce05b276aaf6d1aa2b8a82ced1fe2f8028e9
pv,pkg:generic/pv@1.8.14?source_hash=0cc18811a4809a587d4b11d47691bbc0ad83a5d95d2c2606af74ea7b4a674756
nonstd-observer-ptr-lite,pkg:generic/observer-ptr-lite@0.4.0?source_hash=812eafbdaccfb44ffd2536692b668cd1f16228e8d7609de56b60320c8c57cc67
libjpeg-turbo,pkg:generic/libjpeg-turbo@3.1.0?source_hash=9564c72b1dfd1d6fe6274c5f95a8d989b59854575d4bbee44ade7bc17aa9bc93
nanoarrow,pkg:generic/apache-arrow-nanoarrow@0.6.0?source_hash=e4a02ac51002ad1875bf09317e70adb959005fad52b240ff59f73b970fa485d1
jsoncpp,pkg:generic/jsoncpp@1.9.6?source_hash=f93b6dd7ce796b13d02c108bc9f79812245a82e577581c4c9aabe57075c90ea2
cpputest,pkg:generic/cpputest@4.0?source_hash=0b66d20661f232d2a6af124c4455c8ccc9a4ce72d29f6ad4877eb385faaf5108
xtensor,pkg:generic/xtensor@0.21.5?source_hash=30cb896b6686683ddaefb12c98bf1109fdfe666136dd027aba1a1e9aa825c241
stduuid,pkg:generic/stduuid@1.2.3?source_hash=b1176597e789531c38481acbbed2a6894ad419aab0979c10410d59eb0ebf40d3
tomlplusplus,pkg:generic/tomlplusplus@3.4.0?source_hash=8517f65938a4faae9ccf8ebb36631a38c1cadfb5efa85d9a72e15b9e97d25155
htslib,pkg:generic/htslib@1.21?source_hash=84b510e735f4963641f26fd88c8abdee81ff4cb62168310ae716636aac0f1823
slirp,pkg:generic/libslirp@v4.9.0?source_hash=e744a32767668fe80e3cb3bd75d10d501f981e98c26a1f318154a97e99cdac22
range-v3,pkg:generic/range-v3@0.12.0?source_hash=015adb2300a98edfceaf0725beec3337f542af4915cec4d0b89fa0886f4ba9cb
cppzmq,pkg:generic/cppzmq@4.10.0?source_hash=c81c81bba8a7644c84932225f018b5088743a22999c6d82a2b5f5cd1e6942b74
bshoshany-thread-pool,pkg:generic/thread-pool@5.0.0?source_hash=d3e4be162c45ac784ac6fb2096f9494469571a3473a18829c2adae1aab67cfbc
arduinocore-avr,pkg:generic/avr?source_hash=6213d41c6e91a75ac931527da5b10f2dbe0140c8cc1dd41b06cd4e78b943f41b
imguizmo,pkg:generic/ImGuizmo@1.83?source_hash=e6d05c5ebde802df7f6c342a06bc675bd2aa1c754d2d96755399a182187098a8
nghttp2,pkg:generic/nghttp2@1.62.1?source_hash=2345d4dc136fda28ce243e0bb21f2e7e8ef6293d62c799abbf6f633a6887af72
debug_assert,pkg:generic/debug_assert@1.3.4?source_hash=6d8749eaa6b571b6b53e2355ed0e916a83842cd623ce7e5f65b521ec71b70454
sparrow,pkg:generic/sparrow@0.0.2?source_hash=06f833cb3ada1f25edff912daf66c92d5ec5c8086f93bb085cb658e6f9db18d2
directxmath,pkg:generic/DirectXMath@feb2024?source_hash=f78bb400dcbedd987f2876b2fb6fe12199d795cd6a912f965ef3a2141c78303d
xxhash,pkg:generic/xxHash@0.8.3?source_hash=aae608dfe8213dfd05d909a57718ef82f30722c392344583d3f39050c7f29a80
microsoft-gsl,pkg:generic/GSL@4.0.0?source_hash=eb91fcb10a6aa5ccb1d224e07a56c8ecffe9a1bb601fa1848276ec46a2200bfb
oatpp-swagger,pkg:generic/oatpp-swagger@1.3.0?source_hash=4d8db6d73095a786a521a71e8ba6b535fea62237faaaa57d98257312627d3a45
nonstd-optional-lite,pkg:generic/optional-lite@3.2.0?source_hash=069c92f6404878588be761d609b917a111b0231633a91f7f908288fc77eb24c8
facil,pkg:generic/facil.io@0.7.6?source_hash=dc004017093e1ae3838b8c2a281d77d7cc94a84e0f157d93740838fb61e26d47
fluidsynth,pkg:generic/fluidsynth@2.3.3?source_hash=321f7d3f72206b2522f30a1cb8ad1936fd4533ffc4d29dd335b1953c9fb371e6
tabulate,pkg:generic/tabulate@1.5?source_hash=16b289f46306283544bb593f4601e80d6ea51248fde52e910cc569ef08eba3fb
websocketpp,pkg:generic/websocketpp@0.8.2?source_hash=6ce889d85ecdc2d8fa07408d6787e7352510750daa66b5ad44aacb47bea76755
littlefs,pkg:generic/littlefs@2.10.1?source_hash=620691695d65ad161eed1247122b63ad03e0251d8617864ba086a563afe98216
protobuf,pkg:generic/protobuf@25.2?source_hash=8ff511a64fc46ee792d3fe49a5a1bcad6f7dc50dfbba5a28b0e5b979c17f9871
openh264,pkg:generic/openh264@2.6.0?source_hash=558544ad358283a7ab2930d69a9ceddf913f4a51ee9bf1bfb9e377322af81a69
libsndfile,pkg:generic/libsndfile@1.2.2?source_hash=3799ca9924d3125038880367bf1468e53a1b7e3686a934f098b7e1d286cdb80e
indicators,pkg:generic/indicators@2.3?source_hash=70da7a693ff7a6a283850ab6d62acf628eea17d386488af8918576d0760aef7b
vorbis,pkg:generic/libvorbis@1.3.7?source_hash=b33cc4934322bcbf6efcbacf49e3ca01aadbea4114ec9589d1b1e9d20f72954b
json-glib,pkg:generic/json-glib@1.10.6?source_hash=77f4bcbf9339528f166b8073458693f0a20b77b7059dbc2db61746a1928b0293
luajit,pkg:generic/LuaJIT@04dca7911ea255f37be799c18d74c305b921c1a6?source_hash=346b028d9ba85e04b7e23a43cc51ec076574d2efc0d271d4355141b0145cd6e0
kraken-engine,pkg:generic/Kraken-Engine@0.0.9?source_hash=3f081711b57d81b41a68d51e5e3d5c7fc8a9e0a98a4c0e410c50722cadbdb9f1
iir,pkg:generic/iir1@1.9.3?source_hash=de241ef7a3e5ae8e1309846fe820a2e18978aa3df3922bd83c2d75a0fcf4e78f
nativefiledialog-extended,pkg:generic/nativefiledialog-extended@1.2.1?source_hash=443697a857c4efacbe08cdaf5182724fa9d9b9a79b8feff2a1601bde1df46b07
argtable3,pkg:generic/argtable3@3.2.2.f25c624?source_hash=a5c66d819fa0be0435f37ed2fb3f23e371091722ff74219de97b65f6b9914e51
glib-networking,pkg:generic/glib-networking@2.80.1?source_hash=b80e2874157cd55071f1b6710fa0b911d5ac5de106a9ee2a4c9c7bee61782f8e
cmock,pkg:generic/CMock@2.6.0?source_hash=02d1202bf52c6631e180b463887f75f281d68f8713689990a5ce0e4524d98b00
docopt,pkg:generic/docopt.cpp@0.6.3?source_hash=28af5a0c482c6d508d22b14d588a3b0bd9ff97135f99c2814a5aa3cbff1d6632
vulkan-headers,pkg:generic/Vulkan-Headers@1.3.283?source_hash=a76ff77815012c76abc9811215c2167128a73a697bcc23948e858d1f7dd54a85
yajl,pkg:generic/yajl@2.1.0?source_hash=3fb73364a5a30efe615046d07e6db9d09fd2b41c763c5f7d3bfb121cd5c5ac5a
google-brotli,pkg:generic/brotli@1.1.0?source_hash=e720a6ca29428b803f4ad165371771f5398faba397edf6778837a18599ea13ff
vulkan-memory-allocator,pkg:generic/VulkanMemoryAllocator@3.1.0?source_hash=ae134ecc37c55634f108e926f85d5d887b670360e77cd107affaf3a9539595f2
emilk-loguru,pkg:generic/loguru@2.1.0?source_hash=1a3be62ebec5609af60b1e094109a93b7412198b896bb88f31dcfe4d95b79ce7
leptonica,pkg:generic/leptonica@1.84.1?source_hash=2b3e1254b1cca381e77c819b59ca99774ff43530209b9aeb511e1d46588a64f6
pegtl,pkg:generic/PEGTL@3.2.7?source_hash=d6cd113d8bd14e98bcbe7b7f8fc1e1e33448dc359e8cd4cca30e034ec2f0642d
tl-optional,pkg:generic/optional@1.0.0?source_hash=e18941da05bca12a796ebbeacb83993bc0f10e817fa10bb45124a421c2384690
catch,pkg:generic/Catch2@2.2.2?source_hash=e93aacf012579093fe6b4e686ff0488975cabee1e6b4e4f27a0acd898e8f09fd
miniaudio,pkg:generic/miniaudio@0.11.22?source_hash=bcb07bfb27e6fa94d34da73ba2d5642d4940b208ec2a660dbf4e52e6b7cd492f
libuv,pkg:generic/libuv@v1.49.1?source_hash=8d84f714f4cfd167b1576a58b82430cc2166ef135463d0644964fd71c61a6766
libnpupnp,pkg:generic/libnpupnp@6.2.1?source_hash=1cc1222512d480826d2923cc7b98b7361183a2add8c6b646a7fa32c2f34b32b3
spdlog,pkg:generic/spdlog@1.15.1?source_hash=25c843860f039a1600f232c6eb9e01e6627f7d030a2ae5e232bdd3c9205d26cc
quazip,pkg:generic/quazip@1.4?source_hash=79633fd3a18e2d11a7d5c40c4c79c1786ba0c74b59ad752e8429746fe1781dd6
openssl,pkg:generic/openssl@3.0.8?source_hash=6c13d2bf38fdf31eac3ce2a347073673f5d63263398f1f69d0df4a41253e4b3e
freetype2,pkg:generic/freetype@2.13.3?source_hash=0550350666d427c74daeb85d5ac7bb353acba5f76956395995311a9c6f063289
exiv2,pkg:generic/exiv2@0.28.5?source_hash=e1671f744e379a87ba0c984617406fdf8c0ad0c594e5122f525b2fb7c28d394d
libxcursor,pkg:generic/libXcursor@1.2.1?source_hash=46c143731610bafd2070159a844571b287ac26192537d047a39df06155492104
flatbuffers,pkg:generic/flatbuffers@24.3.6?source_hash=5d8bfbf5b1b4c47f516e7673677f0e8db0efd32f262f7a14c3fd5ff67e2bd8fc
taglib,pkg:generic/taglib@2.0.2?source_hash=0de288d7fe34ba133199fd8512f19cc1100196826eafcb67a33b224ec3a59737
json,pkg:generic/json@3.2.0?source_hash=2de558ff3b3b32eebfb51cf2ceb835a0fa5170e6b8712b02be9c2c07fcfe52a1
theora,pkg:generic/libtheora@1.1.1?source_hash=b6ae1ee2fa3d42ac489287d3ec34c5885730b1296f0801ae577a35193d3affbc
fuse,pkg:generic/libfuse-fuse@2.9.9?source_hash=e57a24721177c3b3dd71cb9239ca46b4dee283db9388d48f7ccd256184982194
glfw,pkg:generic/glfw@3.3.10?source_hash=4ff18a3377da465386374d8127e7b7349b685288cb8e17122f7e1179f73769d5
rapidjson,pkg:generic/rapidjson@1.1.0?source_hash=bf7ced29704a1e696fbccf2a2b4ea068e7774fa37f6d7dd4039d0787f8bed98e
reflex,pkg:generic/RE-flex@5.1.1?source_hash=550e371b3b52aad8836b0679ce0f6898f39cf4a6865651aa3f59b2201dd0740c
libopenjp2,pkg:generic/openjpeg@2.5.3?source_hash=368fe0468228e767433c9ebdea82ad9d801a3ad1e4234421f352c8b06e7aa707
libxext,pkg:generic/libXext@1.3.5?source_hash=db14c0c895c57ea33a8559de8cb2b93dc76c42ea4a39e294d175938a133d7bca
libarchive,pkg:generic/libarchive@3.7.7?source_hash=879acd83c3399c7caaee73fe5f7418e06087ab2aaf40af3e99b9e29beb29faee
turtle,pkg:generic/turtle@1.3.2?source_hash=0551f0e5f19bcee5484a2dfeadd4b56f7142f89ed2a1839dd56ed2d594ef1d4c
pkgconf,pkg:generic/pkgconf@2.4.3?source_hash=51203d99ed573fa7344bf07ca626f10c7cc094e0846ac4aa0023bd0c83c25a41
uchardet,pkg:generic/uchardet@0.0.8?source_hash=e97a60cfc00a1c147a674b097bb1422abd9fa78a2d9ce3f3fdcc2e78a34ac5f0
gdk-pixbuf,pkg:generic/gdk-pixbuf@2.42.12?source_hash=b9505b3445b9a7e48ced34760c3bcb73e966df3ac94c95a148cb669ab748e3c7
imgui-sfml,pkg:generic/imgui-sfml@2.6?source_hash=b1195ca1210dd46c8049cfc8cae7f31cd34f1591da7de1c56297b277ac9c5cc0
libpfm,pkg:generic/libpfm@4.13.0?source_hash=d18b97764c755528c1051d376e33545d0eb60c6ebf85680436813fa5b04cc3d1
bzip2,pkg:generic/bzip2@1.0.8?source_hash=ab5a03176ee106d3f0fa90e381da478ddae405918153cca248e682cd0c4a2269
blueprint-compiler,pkg:generic/blueprint-compiler@v0.16.0?source_hash=01feb8263fe7a450b0a9fed0fd54cf88947aaf00f86cc7da345f8b39a0e7bd30
x-plane-sdk,pkg:generic/x-plane-sdk@4.0.1?source_hash=c1104e83d9b54b03d0084c1db52ee6491e5290994503e8dd2d4a0af637e2bdd7
ftxui,pkg:generic/FTXUI@5.0.0?source_hash=a2991cb222c944aee14397965d9f6b050245da849d8c5da7c72d112de2786b5b
cpp-httplib,pkg:generic/cpp-httplib@0.19.0?source_hash=c9b9e0524666e1cd088f0874c57c1ce7c0eaa8552f9f4e15c755d5201fc8c608
nowide,pkg:generic/nowide_standalone_v11.3.0?source_hash=153ac93173c8de9c08e7701e471fa750f84c27e51fe329570c5aa06016591f8c
cjson,pkg:generic/cJSON@1.7.18?source_hash=3aa806844a03442c00769b83e99970be70fbef03735ff898f4811dd03b9f5ee5
proxy-libintl,pkg:generic/proxy-libintl@0.4?source_hash=13ef3eea0a3bc0df55293be368dfbcff5a8dd5f4759280f28e030d1494a5dffb
glew,pkg:generic/glew@2.2.0?source_hash=d4fc82893cfb00109578d0a1a2337fb8ca335b3ceccf97b97e5cc7f08e4353e1
sparsehash-c11,pkg:generic/sparsehash-c11@2.11.1?source_hash=d4a43cad1e27646ff0ef3a8ce3e18540dbcb1fdec6cc1d1cb9b5095a9ca2a755
libffi,pkg:generic/libffi@3.4.6?source_hash=b0dea9df23c863a7a50e825440f3ebffabd65df1497108e5d437747843895a4e
imgui,pkg:generic/imgui@1.91.6?source_hash=c5fbc5dcab1d46064001c3b84d7a88812985cde7e0e9ced03f5677bec1ba502a
sfml,pkg:generic/SFML@2.6.2?source_hash=15ff4d608a018f287c6a885db0a2da86ea389e516d2323629e4d4407a7ce047f
